brand,video_id,video_title,channel,published_at,view_count,comment_count,text,flagged_signals,type
GT's Living Foods,hZ4OH58ihRY,The Mystery of Jennifer: The Food Blogger Who Doesn’t Taste Her Food,StarTalk USA,2025-02-01T22:00:20Z,5259013,550,Don't u know she has jaw cancer 🦀,,comment
GT's Living Foods,hZ4OH58ihRY,The Mystery of Jennifer: The Food Blogger Who Doesn’t Taste Her Food,StarTalk USA,2025-02-01T22:00:20Z,5259013,550,The Mystery of Jennifer: The Food Blogger Who Doesn’t Taste Her Food,,video_title
GT's Living Foods,i35QW20ufa4,Fancy Sip Review - GT&#39;s Alive (Root Beer),OJWonderbread,2025-03-08T20:29:45Z,206,5,Fancy Sip Review - GT&#39;s Alive (Root Beer),,video_title
GT's Living Foods,xyTZGz8DliI,Review: GT’s Synery Kombucha Sacred life #review #tastetest #drink #kombucha #reviews,Spilly’s Reviews ,2025-12-28T19:59:21Z,253,1,Review: GT’s Synery Kombucha Sacred life #review #tastetest #drink #kombucha #reviews,,video_title
GT's Living Foods,nVvlTNo4MI4,ASMR Kombucha Tasting #kombucha #healthyfood #healthylifestyle #vegan,Sheediary,2025-09-04T14:01:17Z,501,3,ASMR Kombucha Tasting #kombucha #healthyfood #healthylifestyle #vegan,,video_title
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,No drama 🎉,,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,I'm sort of glad people are buying this so much now because it means it's more widely available 😭 I can access it in WAY more cities than I could prior. It's some legendary stuff 🔥,,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,You look amazing! And I'll definitely try this coconut yogurt.,,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,don’t double dip with the same spoon if you’re only eating it once a day just trust me on it  or research it if you don’t believe me 😭😭😭,,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,Also where do you get the bee pollen and what is the brand? Do you take the bee pollen instead of B12?,,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,Getting both this week. Where do you get yours at?,,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,Where do you buy yours? I love the necklace !,love,comment
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,No drama 😂lol,,comment
